Id,adar1,jaccard1,jaccard2,jaccard3,cosine1,cosine2,cosine3,knn1,knn2,knn3,knn4,common_neighbors1,common_neighbors2,common_neighbors3
1,0,0,0.004756336,0.00059617,0,0.00110861,3.07E-05,0.213200716,0.182574186,0.395774902,0.038924947,0,1.238095238,0.931034483
2,0,0,0.000454739,0.007885478,0,5.11E-05,0.000228642,0.11785113,0.316227766,0.434078896,0.0372678,0,0.436619718,3.444444444
3,0.462729334,0.011152416,0.006910702,0.024294678,0.000692042,0.000554185,0.000186637,0.069673301,0.23570226,0.305375562,0.016422155,3,1.341463415,20.94117647
4,0.178804971,0.003669725,0.01427081,0.00315172,0.000108719,0.00063456,7.30E-06,0.044411559,0.164398987,0.208810546,0.007301215,2,3.519762846,51.30555556
5,0,0,0.006324196,2.04E-05,0,0.000329829,9.72E-07,0.229415734,0.145864991,0.375280725,0.033463724,0,2.611111111,1.173913043
6,0,0,0,0,0,0,0,0.140028008,0.707106781,0.84713479,0.099014754,0,0,0
7,0.08801954,0.002518892,0.003031413,0.002819395,0.000320513,0.000494334,9.53E-06,0.055215763,0.333333333,0.388549096,0.018405254,1,0.422018349,23.625
8,0.09371132,0.001934236,0.002621597,0.000941548,4.27E-05,0.000102508,2.06E-06,0.078086881,0.140028008,0.218114889,0.01093435,1,0.926380368,36.14
9,0,0,0.001405486,0.001432595,0,0.000389859,1.62E-06,0.032091527,0.447213595,0.479305123,0.014351767,0,0.208247423,53.25
10,0,0,0.009041166,0.000147126,0,0.000374597,7.56E-07,0.070888121,0.12803688,0.198925,0.009076294,0,1.616161616,5.333333333
11,0,0,0.0002255,0.005491993,0,0.000118086,6.73E-05,0.036155076,0.577350269,0.613505345,0.020874143,0,0.02486911,9.5
12,0,0,0.000183081,0.041728763,0,0.000183081,0.000273411,0.071981575,0.707106781,0.779088356,0.05089866,0,0.130208333,28
13,0.648338457,0.03125,0.052495856,0.048745311,0.005291005,0.014785095,0.000474855,0.150755672,0.377964473,0.528720145,0.056980288,4,1.813953488,34
14,0,0,0,0,0,0,0,0.707106781,0.25,0.957106781,0.176776695,0,0,0
15,0,0,0.002781539,0.000404989,0,0.000167061,3.75E-06,0.094491118,0.149071198,0.243562317,0.014085904,0,0.828828829,2.431818182
16,1.194465553,0.011470282,0.036326355,0.009656837,9.94E-05,0.000146788,9.41E-05,0.092057462,0.034523834,0.126581296,0.003178177,11,85.53846154,14.05131265
17,0.099681332,0.005235602,0.038174308,0.001610678,0.000123047,0.001828414,1.39E-05,0.087705802,0.125,0.212705802,0.010963225,1,7.310077519,14.96825397
18,0,0,0.000674458,2.83E-06,0,5.43E-05,7.08E-08,0.158113883,0.213200716,0.371314599,0.033709993,0,0.051282051,0.142857143
19,0,0,0.016671704,0.001262016,0,0.000756953,1.94E-06,0.037932162,0.127000127,0.164932289,0.004817389,0,2.933717579,39.73770492
20,0.204653026,0.010752688,0.041697458,0.015302099,0.001578532,0.009537245,0.000196953,0.083624201,0.353553391,0.437177592,0.02956562,2,1.352112676,38.14285714
