adar1,jaccard1,jaccard2,jaccard3,cosine1,cosine2,cosine3,knn1,knn2,knn3,knn4,common_neighbors1,common_neighbors2,common_neighbors3
0.112270355,0.000450045,0.089276374,0.081024098,1.47E-05,0.00641011,4.39E-05,0.021363815,0.176776695,0.19814051,0.003776625,1,6.571689498,465.6129032
0,0,0.222355569,0.502482307,0,0.181943476,0.000157733,0.017749926,0.577350269,0.595100195,0.010247924,0,1.057674125,1687.5
1.425548203,0.000869313,0.04314977,0.062196714,2.56E-05,0.010094583,5.25E-06,0.007621606,0.169030851,0.176652457,0.001288287,15,4.431276868,2247.647059
5.680229671,0.006287298,0.095822263,0.052157971,4.63E-05,0.001728219,9.36E-06,0.010380685,0.085125653,0.095506338,0.000883663,59,28.08675504,1908.459854
0,0,0.435368663,1,0,0.435368663,0.000317763,0.017823075,0.707106781,0.724929856,0.012602817,0,1,3147
0,0,0.033547638,0.048850389,0,0.008248009,0.000216778,0.071611487,0.213200716,0.284812204,0.01526762,0,2.077319588,25.04761905
3.833238423,0.00102112,0.050848493,0.047331019,1.20E-05,0.004012611,2.22E-06,0.004999,0.107832773,0.112831774,0.000539056,41,7.639685118,3608.235294
0,0,0.056076627,0.113291927,0,0.024905899,3.66E-06,0.004999,0.316227766,0.321226766,0.001580823,0,1.022341622,4556.444444
1.096478047,0.000934944,0.084935714,0.055629283,2.13E-05,0.007754153,5.87E-06,0.008972309,0.149071198,0.158043508,0.001337513,12,9.409870381,2747.795455
39.24570955,0.019347037,0.01256337,0.028383221,1.64E-05,0.000203923,1.23E-05,0.008751751,0.055215763,0.063967514,0.000483235,272,23.71903485,716.116208
0.269066617,7.48E-05,0.083208046,0.20177441,1.25E-05,0.03914875,6.06E-06,0.004999,0.377964473,0.382963473,0.001889445,3,1.524928152,10208
37.9816882,0.005596025,0.004480692,0.017327699,3.66E-06,0.000232383,3.35E-06,0.004999,0.062994079,0.067993079,0.000314907,232,9.219617643,1061.888446
0.201096804,0.000115982,0.058142818,0.129245894,1.16E-05,0.030608001,1.06E-05,0.007621606,0.301511345,0.30913295,0.002298001,2,1.495062159,2577.9
2.862497376,0.001623565,0.046655395,0.061393783,4.28E-05,0.009356934,8.15E-06,0.007621606,0.160128154,0.16774976,0.001220434,28,4.857615894,2204.447368
0.145210979,2.49E-05,0.12106718,0.338544602,8.31E-06,0.07652326,9.61E-06,0.004999,0.5,0.504999,0.0024995,1,1.09701362,14670.66667
0.171235168,0.002610966,0.0421546,0.104825486,0.000263852,0.011599872,0.000140832,0.036490518,0.301511345,0.338001863,0.011002305,2,1.88,143.9
0.073830359,7.81E-05,0.102971825,0.337259027,2.60E-05,0.075566268,2.66E-05,0.008972309,0.5,0.508972309,0.004486155,1,1.303357218,5596.333333
0.943234642,0.013175231,0.059695039,0.013930389,9.51E-05,0.000978448,2.85E-05,0.041309619,0.074743509,0.116053129,0.003087626,10,29.56752137,99.80337079
3.805252692,0.00097097,0.039652438,0.036625309,1.00E-05,0.003772492,2.42E-06,0.004999,0.101015254,0.106014255,0.000504975,39,6.761764338,2802.670103
0.78123088,0.002442334,0.051081058,0.017639228,2.77E-05,0.004035549,5.67E-06,0.01670849,0.104828484,0.121536974,0.001751526,9,7.796704831,313.8666667
35.5480977,0.02615193,0.003705329,0.078595021,6.08E-05,0.000202054,3.59E-05,0.017122183,0.229415734,0.246537917,0.003928098,105,3.644868035,398.1666667
0,0,0.223631331,1,0,0.223631331,2.49E-05,0.004999,0.707106781,0.712105781,0.003534827,0,1,40108
2.000796409,0.001529169,0.05095615,0.060185276,3.83E-05,0.00412325,7.85E-06,0.008751751,0.156173762,0.164925512,0.001366794,20,6.877058598,2246.125
0.126589898,0.000693963,0.138328853,0.397925528,0.000231642,0.079478786,0.000294916,0.026379807,0.5,0.526379807,0.013189904,1,1.497214485,718.3333333
2.933800895,0.022613065,0.050128271,0.082067018,0.000626109,0.004656375,0.000239714,0.036442026,0.162221421,0.198663447,0.005911677,18,4.6875,98.05405405
0.857914679,0.00747198,0.054464089,0.135506626,0.000750939,0.018661293,0.000234691,0.044280744,0.301511345,0.345792089,0.013351147,6,2.066797642,156.6
0.966120962,0.012135922,0.038533329,0.016526396,0.000140996,0.000491729,0.000230829,0.129099445,0.057831493,0.186930938,0.007466014,5,21.72881356,5.912751678
0.607865751,0.001615509,0.017529236,0.013250117,1.44E-05,0.002278801,7.22E-06,0.01670849,0.092450033,0.109158523,0.0015447,6,3.068137392,96.50862069
14.59624448,0.027568922,0.02270267,0.032267748,5.65E-05,0.000297359,2.62E-05,0.01685021,0.054392829,0.07124304,0.000916531,110,26.91053678,259.0504451
0.1669041,0.00234192,0.036585157,0.291206119,0.000472813,0.012223543,0.000821281,0.048795004,0.40824829,0.457043294,0.019920477,1,1.871121718,158.4
0.077516816,2.49E-05,0.157112428,0.509234838,1.25E-05,0.115931117,1.27E-05,0.004999,0.577350269,0.582349269,0.002886174,1,1.198475572,24049
0,0,0.214373406,1,0,0.214373406,0.002427184,0.049206783,0.707106781,0.756313564,0.03479445,0,1,412
2.604473683,0.000978055,0.002396791,0.012755883,1.13E-06,7.92E-06,3.34E-05,0.034060135,0.0625,0.096560135,0.002128758,16,60.62369338,38.12156863
1.440145241,0.00764526,0.049635056,0.023444925,9.12E-05,0.00156215,1.58E-05,0.023094011,0.106600358,0.129694369,0.00246183,15,15.53255069,340.3908046
0.435521952,0.000816104,0.014190669,0.044932292,2.49E-05,0.002556005,3.23E-05,0.017122183,0.171498585,0.188620768,0.00293643,3,1.763929619,197.9393939
0,0,0.183965755,0.50856531,0,0.147283816,0.002523334,0.07124705,0.577350269,0.648597319,0.041134503,0,1.040816327,106
