adar1,jaccard1,jaccard2,jaccard3,cosine1,cosine2,cosine3,knn1,knn2,knn3,knn4,common_neighbors1,common_neighbors2,common_neighbors3
0.177896658,0.000267451,0.042448201,0.108640213,2.23E-05,0.011167193,1.77E-05,0.011570943,0.277350098,0.288921042,0.003209202,2,2.614622389,1627.166667
0,0,0.137467213,0.251531689,0,0.089351109,6.45E-05,0.01591316,0.447213595,0.463126756,0.007116582,0,1.012917933,1002
1.259155516,0.00856531,0.025642836,0.027272042,0.000113867,0.001528195,2.88E-05,0.027389552,0.111803399,0.139192951,0.003062245,12,7.304054054,123.9240506
0,0,0.026061541,0.153658307,0,0.009138223,7.79E-05,0.022277296,0.353553391,0.375830687,0.007876214,0,1.62959285,469
0,0,0.109243159,1,0,0.109243159,0.003831418,0.062257281,0.707106781,0.769364062,0.044022545,0,1,261
3.779900409,0.000422615,0.039172372,0.074129614,9.19E-06,0.002980651,3.79E-06,0.003427614,0.145864991,0.149292605,0.000499969,36,4.215705625,7811.26087
0,0,0.077573483,1,0,0.077573483,1.17E-05,0.003427614,0.707106781,0.710534395,0.002423689,0,1,85174
0.871751793,0.00974026,0.033675901,0.11936132,0.000819672,0.006116239,0.000245476,0.042993358,0.277350098,0.320343456,0.011924212,6,2.611111111,137.75
4.007805718,0.017437961,0.025681932,0.015621336,9.55E-05,0.000304396,0.000148848,0.070710678,0.029591498,0.100302176,0.002092435,26,55.93969849,10.09027169
0.196228146,2.35E-05,0.04365669,0.20801426,3.91E-06,0.014030694,4.52E-06,0.003427614,0.377964473,0.381392087,0.001295516,2,1.338549744,19006.5
18.51633047,0.021352313,0.024928543,0.03543527,5.30E-05,5.90E-05,0.000131157,0.050636968,0.038180177,0.088817146,0.001933328,126,223.848329,66.59124088
0,0,0.011785968,0.023047056,0,0.001226305,9.46E-05,0.052631579,0.117041147,0.169672726,0.00616006,0,3.511111111,17.59722222
0.375141848,4.70E-05,0.057222007,0.260157362,6.71E-06,0.014688453,5.08E-06,0.003427614,0.353553391,0.356981004,0.001211844,4,2.135603177,25992.71429
0,0,0.060031328,0.50399361,0,0.039059733,6.40E-06,0.003427614,0.577350269,0.580777883,0.001978934,0,1.008647023,42957
1.840182798,0.000234786,0.096797444,0.177012123,7.83E-06,0.007154899,4.56E-06,0.003427614,0.179605302,0.183032916,0.000615618,20,7.342661779,20852.23333
4.332139691,0.000551753,0.142902185,0.174915371,9.85E-06,0.00647218,4.35E-06,0.003427614,0.132453236,0.135880849,0.000453999,47,14.51035058,22076.73214
5.462847383,0.00066914,0.11630053,0.143308197,9.99E-06,0.004991801,4.43E-06,0.003427614,0.121267813,0.124695426,0.000415659,57,13.8455637,17607.91045
0.28354103,3.52E-05,0.049249316,0.247035655,5.87E-06,0.015060295,5.36E-06,0.003427614,0.377964473,0.381392087,0.001295516,3,1.595645942,22656.33333
6.188695804,0.006800518,0.097356246,0.045665337,3.50E-05,0.001704537,9.93E-06,0.010466758,0.071066905,0.081533663,0.00074384,63,34.24849348,1587.93401
1.433756255,0.000176098,0.070333287,0.16446753,8.39E-06,0.007432076,4.23E-06,0.003427614,0.213200716,0.21662833,0.00073077,15,4.57451008,18557.19048
4.431949997,0.000539982,0.095665121,0.130047566,9.00E-06,0.00467814,4.56E-06,0.003427614,0.12803688,0.131464493,0.000438861,46,10.83685794,15390.08333
2.587612737,0.033057851,0.022102501,0.05497178,0.000259252,0.000375871,0.000281673,0.071981575,0.147441956,0.219423531,0.010613104,16,9.619791667,37.13333333
0.401432223,4.70E-05,0.056173688,0.263884858,7.83E-06,0.016398946,5.34E-06,0.003427614,0.377964473,0.381392087,0.001295516,4,1.921577612,27281.5
5.339431568,0.006809339,0.095603216,0.049018895,6.59E-05,0.002299369,8.10E-06,0.011142796,0.097590007,0.108732803,0.001087426,56,22.93753881,1795.528846
1.413491161,0.000164339,0.047481865,0.098298244,5.48E-06,0.004507596,3.24E-06,0.003427614,0.179605302,0.183032916,0.000615618,14,3.729169604,10592.36667
